18	41	60	69	57	51	70	80	75	55	40	44	73	42	47	24	49	24	14	7	
12	15	37	49	38	35	45	52	51	48	47	61	84	55	25	26	18	26	33	30	
45	54	41	52	41	27	27	31	32	34	69	55	63	42	65	53	52	33	20	30	
29	46	42	37	40	34	39	38	58	43	57	79	78	81	76	64	53	50	52	51	
23	26	26	26	31	36	38	74	58	61	62	91	93	80	70	69	63	33	32	22	
18	27	26	35	36	39	58	70	55	42	97	82	71	63	59	47	31	32	25	22	
22	28	38	43	56	57	54	49	46	36	68	65	96	58	57	46	31	46	62	47	
47	45	48	61	75	58	42	46	53	44	48	60	35	30	51	60	50	60	44	37	
66	51	31	30	42	36	47	41	42	63	56	47	32	31	46	25	26	29	24	27	
15	25	24	31	24	50	65	72	51	54	39	32	28	37	28	30	36	25	26	40	
